"group.all" "pa" "lon" "lat" "bio1" "bio2" "bio3"
"1" 3 1 -49.0791667 -26.9055556 200 92 51
"2" 3 1 -67.705 -10.0247223 261 106 73
"3" 2 1 -39.5844444 -15.7388889 230 82 66
"4" 3 1 -39.6591667 -15.565 236 80 66
"5" 1 1 -38.9666667 -12.25 232 78 63
"6" 2 1 -39.6291667 -15.5641667 236 80 66
"7" 1 1 -43.1038889 -22.9508333 231 82 56
"8" 1 1 -51.7172223 -17.9230556 235 119 72
"10" 3 1 -39.5533333 -14.2125 236 68 65
"11" 1 1 -42.8425 -22.8969444 230 83 55
"12" 3 1 -39.6525 -15.5722223 236 80 66
"13" 3 1 -41.2911111 -21.7619444 234 92 58
"18" 1 1 -38.1016667 -4.8380555 272 100 80
"19" 3 1 -47.8777778 -15.9463889 208 114 71
"20" 2 1 -42.8422222 -22.8966666 230 83 55
"21" 2 1 -36.2986111 -10.0266667 244 79 69
"22" 2 1 -36.4938889 -10.3280556 249 83 68
"23" 3 1 -35.2394444 -5.8369444 257 89 74
"25" 1 1 -35.3527778 -6.3291667 254 95 74
"28" 1 1 -35.1941666 -5.8419444 257 89 74
"29" 1 1 -35.2991666 -5.4694445 260 83 74
"30" 3 1 -35.135 -5.8491666 258 84 73
"31" 1 1 -35.2008333 -5.8425 257 89 74
"35" 1 1 -42.9888889 -22.8263889 232 87 56
"36" 3 1 -36.2736111 -10.0477777 244 79 69
"37" 3 1 -40.1511111 -19.6752778 245 87 60
"38" 2 1 -39.5522222 -14.2138889 236 68 65
"40" 3 1 -43.1613889 -22.9638889 231 82 56
"41" 1 1 -38.0161111 -12.5736111 246 75 66
"42" 2 1 -40.68 -15.0605556 214 97 67
"44" 2 1 -40.2616667 -19.6783334 244 91 61
"47" 2 1 -40.1472222 -19.0569444 240 94 64
"48" 2 1 -40.15 -19.6766667 245 87 60
"49" 3 1 -40.2794445 -19.7244445 244 91 61
"51" 1 1 -39.5672223 -15.7127778 230 82 66
"52" 2 1 -39.4838889 -14.2730556 238 66 65
"53" 2 1 -41.9605556 -22.8063889 229 68 56
"55" 1 1 -40.2780556 -19.7291667 244 91 61
"56" 3 1 -43.1627778 -22.9638889 231 82 56
"59" 2 1 -43.0777778 -22.9180556 231 82 56
"60" 3 1 -40.6780556 -15.0619444 214 97 67
"61" 2 1 -43.1155556 -22.9402777 231 82 56
"62" 3 1 -43.1166667 -22.9441666 231 82 56
"63" 2 1 -42.5938889 -22.7516667 225 84 57
"64" 1 1 -39.5525 -14.2133333 236 68 65
"65" 1 1 -39.5794445 -16.9683334 244 87 67
"66" 1 1 -42.4611111 -22.9286111 230 74 56
"67" 3 1 -41.9827778 -22.8047222 229 68 56
"69" 2 1 -35.2 -5.8166667 258 87 74
"70" 1 1 -42.4613889 -22.9291667 230 74 56
"73" 2 1 -39.7333333 -14.5666667 229 74 66
"74" 3 1 -43.1861111 -22.9647222 224 82 56
"75" 1 1 -41.9666667 -22.7166667 229 68 56
"76" 3 1 -34.9502778 -8.0127778 256 64 69
"78" 1 1 -50.8666667 -11.7833333 275 120 74
"79" 2 1 -39.5777778 -15.6986111 230 82 66
"80" 3 1 -39.25 -17.65 244 75 63
"81" 3 1 -39.2022222 -16.4191667 241 78 66
"82" 2 1 -36.2666667 -10.0333333 244 79 69
"83" 1 1 -43.1630556 -22.9633333 231 82 56
"84" 2 1 -47.8777778 -15.9472222 208 114 71
"85" 1 1 -43.0875 -22.9444444 231 82 56
"86" 3 1 -39.5433333 -15.1636111 235 75 64
"90" 1 1 -35.135 -6.9602778 253 87 71
"92" 2 1 -39.7333333 -14.65 229 74 66
"1100" 1 0 -46.25 -13.4166666666667 241 113 72
"2100" 3 0 -42.5833333333333 -4.41666666666666 270 115 71
"310" 1 0 -48.25 -23.4166666666667 194 115 62
"410" 3 0 -47.75 -14.75 219 101 69
"510" 1 0 -42.5833333333333 -2.75 273 92 81
"610" 3 0 -47.0833333333333 -4.58333333333333 259 112 80
